psz2_name,ra_deg,dec_deg,R500_arcmin,TX_keV,z,M500_Msun,R500_Mpc,sep_arcmin
PSZ2G041.45+29.10,259.4366,19.6766,6.48,6.35,0.178,468630000000000.0,1.1139,1.1372326972447275
PSZ2G042.81+56.61,230.6228,27.7078,13.5,5.42,0.0723,350780000000000.0,1.048,0.6651541225474069
PSZ2G046.88+56.48,231.0341,29.8851,9.4,5.66,0.1145,457410000000000.0,1.1292,2.188865286394718
PSZ2G050.40+31.17,260.0358,27.6705,6.4,4.82,0.164,390060000000000.0,1.0529,0.06948504798787643
PSZ2G056.77+36.32,255.6774,34.0601,10.53,5.3,0.0953,449080000000000.0,1.1295,0.1294218928801862
PSZ2G056.93-55.08,340.8415,-9.5954,3.7,8.21,0.447,1740000000000000.0,1.56,0.13823599553188265
PSZ2G057.78+52.32,236.2458,36.1113,12.15,3.53,0.0654,155139990000000.0,0.8003,2.7189701716674533
PSZ2G057.92+27.64,266.0597,32.9914,11.08,3.95,0.0757,323720000000000.0,1.0192,0.1731759007520519
PSZ2G072.62+41.46,250.084,46.7087,6.73,9.59,0.228,870190000000000.0,1.345,0.273444989234393
PSZ2G077.90-26.63,330.2217,20.972,7.46,5.34,0.147,463390030000000.0,1.1217,0.11820029792728799
PSZ2G083.86+85.09,196.4621,30.8954,6.04,5.35,0.1832,364340000000000.0,1.0224,1.0477587480963155
PSZ2G113.29-29.69,2.9399,32.4149,8.86,4.49,0.1073,337850000000000.0,1.0232,0.27684779859403974
PSZ2G113.91-37.01,4.9243,25.3013,3.96,6.99,0.1353,232660000000000.0,0.8951,0.8807386922558875
PSZ2G114.79-33.71,5.1541,28.66,10.2,4.78,0.094,238899990000000.0,0.9156,1.244133568361311
PSZ2G195.75-24.32,73.5409,2.9248,6.53,7.2,0.203,643640000000000.0,1.2273,0.5011422169293257
PSZ2G207.88+81.31,183.0763,27.5485,4.09,7.01,0.353,488480000000000.0,1.0592,0.3785292859846735
PSZ2G224.00+69.33,170.9918,21.4825,5.99,5.58,0.1904,405520000000000.0,1.0569,0.46767582389427126
PSZ2G238.69+63.26,168.2267,13.4346,6.21,4.71,0.169,304749970000000.0,0.9681,0.6190036468796551
PSZ2G243.64+67.74,173.2135,14.4543,11.23,4.92,0.0834,301370000000000.0,0.9927,0.9735165478334367
PSZ2G287.46+81.12,190.3231,18.574,11.33,3.42,0.073,179310000000000.0,0.8378,0.4074488817369482
PSZ2G313.33+61.13,197.8725,-1.3414,7.42,8.49,0.1832,839200040000000.0,1.3502,0.3967637882085186
PSZ2G313.88-17.11,240.4526,-75.7545,8.37,9.35,0.153,687600000000000.0,1.2768,0.5170709346899738
PSZ2G324.04+48.79,206.8778,-11.752,3.81,11.99,0.4516,1317790000000000.0,1.4195,0.24879290364737291
PSZ2G340.94+35.07,224.8711,-18.1791,5.76,6.92,0.2357,861800000000000.0,1.337,0.4739927643062336
PSZ2G349.46-59.95,342.1857,-44.5299,4.77,11.5,0.3475,1183280000000000.0,1.4256,0.19977602107999767
