service,source_page,time_gyr,z,h_data_nominal,h_data_sigma,h_flrw,flrw_dev_sigma,h_mult,mult_dev_sigma,beta_d,beta_q,h0_anchor,notes
ChatGPT,12,13.5,0.02,73.0,1.0,68.0,-5.6,73.0,0.0,0.78,0.19,73.0,H_MULT normalized to 73.0 at z=0
ChatGPT,12,13.0,0.06,69.0,3.0,68.1,-0.3,70.2,0.4,0.78,0.19,73.0,
ChatGPT,12,12.0,0.14,74.0,4.0,69.3,-1.2,73.5,-0.1,0.78,0.19,73.0,
ChatGPT,12,11.0,0.25,79.0,4.5,71.5,-1.7,78.8,-0.04,0.78,0.19,73.0,
ChatGPT,12,10.0,0.40,82.0,5.0,75.0,-1.4,83.1,0.2,0.78,0.19,73.0,
ChatGPT,12,9.0,0.65,92.0,7.0,83.0,-1.3,91.4,-0.1,0.78,0.19,73.0,
ChatGPT,12,8.0,1.00,105.0,8.0,95.7,-1.2,104.2,-0.1,0.78,0.19,73.0,
ChatGPT,12,7.0,1.50,125.0,15.0,114.8,-0.7,126.5,0.1,0.78,0.19,73.0,
ChatGPT,12,6.0,2.10,150.0,20.0,140.3,-0.5,151.8,0.1,0.78,0.19,73.0,
ChatGPT,12,5.0,3.20,195.0,30.0,187.6,-0.2,197.3,0.1,0.78,0.19,73.0,
ChatGPT,12,4.0,5.00,270.0,50.0,265.2,-0.1,271.5,0.03,0.78,0.19,73.0,
ChatGPT,12,3.0,8.50,420.0,90.0,398.5,-0.2,418.1,-0.02,0.78,0.19,73.0,
