z,H_obs,sigma_H,H_FLRW_reported,H_FLRW_recomputed,H_FLRW_diff,sigma_FLRW_reported,sigma_FLRW_recomputed,sigma_FLRW_diff,H_MULT_reported,sigma_MULT_reported
0.000,73.000,1.100,67.400,67.400,0.000,-5.600,5.091,-10.691,71.100,1.300
0.060,69.000,3.000,68.100,69.398,-1.298,-0.300,-0.133,-0.167,70.200,0.400
0.140,74.000,4.000,69.300,72.331,-3.031,-1.200,0.417,-1.617,73.500,-0.100
0.250,79.000,4.500,71.500,76.855,-5.355,-1.700,0.477,-2.177,78.800,-0.040
0.400,82.000,5.000,75.000,83.895,-8.895,-1.400,-0.379,-1.021,83.100,0.200
0.650,92.000,7.000,83.000,97.672,-14.672,-1.300,-0.810,-0.490,91.400,-0.100
1.000,105.000,8.000,95.700,120.663,-24.963,-1.200,-1.958,0.758,104.200,-0.100
1.500,125.000,15.000,114.800,159.595,-44.795,-0.700,-2.306,1.606,126.500,0.100
2.100,150.000,20.000,140.300,213.873,-73.573,-0.500,-3.194,2.694,151.800,0.100
3.200,195.000,30.000,187.600,330.347,-142.747,-0.200,-4.512,4.312,197.300,0.100
5.000,270.000,50.000,265.200,558.750,-293.550,-0.100,-5.775,5.675,271.500,0.030
8.500,420.000,90.000,398.500,1109.049,-710.549,-0.200,-7.656,7.456,418.100,-0.020
